Username,Rank,Profile Link,Fee Type,Txid,ETH,BTC
xxkaiwaxx,Sr. Member,https://bitcointalk.org/index.php?action=profile;u=965266,Airdrop,Airdrop,0x5e9600d08d247283f56485DCCc2adcB65eFe8c32,1mkhcPnGXH5Xw1tf99KmMxTFEWZ7j6NzF
gumshed,Member,https://bitcointalk.org/index.php?action=profile;u=1157422,MVT,/,0x16a59020E5054da726A4d6d0D465758eb0b49e7c,1o7oPYWxkD7dZ3ry1T4qwgsjwkgxu9DwZ
jpdorn,Sr. Member,https://bitcointalk.org/index.php?action=profile;u=758969,MVT,0x54eb64c91eace5156c924085dc25ea1a4b18f97ac9dca3082d3767644f68c1d4,0x807A8f83Cc23E3b75E57C962a815BF9E4B423862,/
gerdab,Sr. Member,https://bitcointalk.org/index.php?action=profile;u=262072,Airdrop,Airdrop,0xdDA603Be2f0B67A14c06b9f3D9Bc280963a199d5,14sz55DptABE4PndM1DkaMVDFE8Roikgec
kamiyama,Sr. Member,https://bitcointalk.org/index.php?action=profile;u=853083,Airdrop,Airdrop,0xffd84530Db27CC11d3eBF2B4854e3B2B53609a7E,1LpUbjuMPDsEmn5RPrgsmAMXDSHGzpSaWy
Münzpräger,Sr. Member,https://bitcointalk.org/index.php?action=profile;u=243450,Airdrop,Airdrop,0xfA16FEdD453bfE4E394c9C99959A268d98DA0779,bc1qehh3n6cckjwfxd80ndnuygtjtnc4rhwzc3nve4
faimenliti,Full Member,https://bitcointalk.org/index.php?action=profile;u=986267,ETH,0x4747774b8d9e8a9a903260e32e03bc24aab01eb83637d1bb59de0accb46b5e84,0xa02e2594ee1eb510d2ef1b77434c697307033a16,/
Johnny Carsonogenic,Full Member,https://bitcointalk.org/index.php?action=profile;u=1032247,MVT,0xef6d58c3660bbb1efcd5c0b133851ceb56292d6bd8a89c4ee0555fefd17f8751,0xb0D6576b4B92500576eF728DF24c861e52E45e24,14cvk4p4LN2Lpn4AzkjUHDr7A2tKerMhzk
premium_domainer,Legendary,https://bitcointalk.org/index.php?action=profile;u=361655,Airdrop,Airdrop,0x535f6b9910db6a0bc488e1289f38280403ed2e46,/
devlin,Sr. Member,https://bitcointalk.org/index.php?action=profile;u=96157,Airdrop,Airdrop,0x6e36B21556F333fC33197C8083b5853A0DE01E27,14YYFWLCjnKQWUu7RJ9i5e4mpsnxdxS1kM
TaShoKi,Sr. Member,https://bitcointalk.org/index.php?action=profile;u=890221,Airdrop,Airdrop,0xd398830001acb4197df5f4f6b819d0262b06f01d,1Pm5EnA1fhgkGnF5cFmA7neQHAUdtkW6iR
curcumurus,Newbie,https://bitcointalk.org/index.php?action=profile;u=1366124,BTC,8b081302b503fe6cc926cc509f7e158164ebec987676e3cad4b8ccbda17fd953,0x7e1121ed7f7c8D89947703feB43ea16805016dc8,15GuzhbQRcyzpJkUqmJLGBRPsDygYQQo89
atchoum6760,Legendary,https://bitcointalk.org/index.php?action=profile;u=202760,MVT,0x686fc5c82fff5592ad236f8a34e06f350c41a6bc51dbc4d5bc6fdf52f022ac76,0x42AcF658cc5c31BBA8CEa0CDf4306b88308c6330,/
testadimerlo,Sr. Member,https://bitcointalk.org/index.php?action=profile;u=250929,Airdrop,Airdrop,0x15630B7be464718162F3c713ED9D97fDac0698D0,19Nz6FAVjSos581cyMhZzwGjEiYDqQiqu
legion_miracle,Full Member,https://bitcointalk.org/index.php?action=profile;u=1054851,MVT,0x4d1e0861e9a93f8d1bb74a8e632db9e45c0ac7bccef0b548beebf5389001450a,0x8a23A97E4f7C3776E7222aD8C541Dc6572aD5971,16nCUk3zLfoW4VwFYGuW5DhT2yySf8SeL5
Cent21,Hero Member,https://bitcointalk.org/index.php?action=profile;u=854571,Airdrop,Airdrop,0xB2C9F2a7C0090Ee4ACc7aB94C0C15f0ef12Ae975,/
koang,Sr. Member,https://bitcointalk.org/index.php?action=profile;u=988415,Airdrop,Airdrop,0x57B581d630F113fA223569f73D421b05ED30795F,13S1PCbNzcodrWwtbtWMXqkHyyUjnjeW15
SEELE^^01,Full Member,https://bitcointalk.org/index.php?action=profile;u=209282,/,/,0x79B4c43E80af7a49D654f9f24966635bDb93D16A,/
vlom,Legendary,https://bitcointalk.org/index.php?action=profile;u=550439,Airdrop,/,0x555e86d5fCF6298bcB313E1b1B7A7F9eaf78dA10,12yRFqgqa89wYys1c2e7cDkDzvhPEwFHWj
